Country,Year,GDP_Growth,CO2_Emission_Metrics_per_capita,Electricity_access,Urban_population,Population_growth,Urban_population_growth_annual,Live_stock_production,Forest_area,Renewable_energy_use,Energy_use_kg_of_oil_per_capita,Population_total
Virgin Islands (U.S.),2009,-6.6,..,100,94.4,0,0.2,104.6,53.2,0,..,"1,08,405.00"
West Bank and Gaza,2009,8.6,0.6,99.2,73.9,2.7,3,87.4,1.5,16.5,..,"36,89,099.00"
"Yemen, Rep.",2009,3.9,1.1,60.7,31.2,2.8,4.7,70.6,1,0.9,358.6,"2,25,16,460.00"
Zambia,2009,9.2,0.2,25.1,38.9,2.8,4.1,78.5,62.9,92.1,600.8,"1,32,15,139.00"
Zimbabwe,2009,12,0.4,43.4,33.4,1.2,0.6,97.5,46.4,83.2,729.4,"1,25,26,968.00"
Arab World,2009,0.4,4.6,84.3,56,2.4,3.2,22.9,1.7,5,"1,724.40","34,66,29,220.00"
Caribbean small states,2009,-3.6,8.9,92.2,50.4,0.7,0.7,0.1,90.6,9.6,"4,826.40","69,25,454.00"
Central Europe and the Baltics,2009,-3.4,6.5,100,62,-0.2,-0.1,0.1,33.6,13.4,"2,527.40","10,48,00,475.00"
Early-demographic dividend,2009,0.6,2.1,77.2,41.6,1.5,2.5,0.3,23.7,26.9,843.6,"2,86,42,98,836.00"
East Asia & Pacific,2009,1.4,5.1,95.1,50.9,0.7,2.8,0.2,26.7,14.5,"1,780.00","2,19,20,59,415.00"
East Asia & Pacific (excluding high income),2009,7.7,4.5,94.6,46.5,0.7,3.2,0.2,30,17.6,"1,489.70","1,95,20,17,409.00"
East Asia & Pacific (IDA & IBRD countries),2009,7.7,4.5,95.4,46.3,0.7,3.2,0.2,29.8,17.6,"1,498.40","1,92,75,60,609.00"
Euro area,2009,-4.5,7.3,100,75.1,0.3,0.6,0.1,37.9,12.1,"3,511.70","33,53,60,890.00"
Europe & Central Asia,2009,-4.4,7.2,100,70.6,0.4,0.7,0.1,38.3,10.4,"3,159.10","88,44,69,375.00"
Europe & Central Asia (excluding high income),2009,-6,7.3,99.9,66.1,0.5,0.8,0.2,39.4,5.4,"2,892.20","37,56,74,687.00"
Europe & Central Asia (IDA & IBRD countries),2009,-4.9,7.2,99.9,65,0.4,0.6,0.2,39.1,6.4,"2,793.70","43,84,98,958.00"
European Union,2009,-4.3,7.1,100,72.8,0.2,0.5,0.1,39.1,13.4,"3,321.30","44,09,17,800.00"
Fragile and conflict affected situations,2009,3,1,44.6,40.7,2.5,3.6,18.8,28.3,60.1,698.5,"63,21,27,588.00"
Heavily indebted poor countries (HIPC),2009,4.5,0.2,28.1,32,2.8,4.2,20.9,30.9,81.2,413.2,"60,71,15,564.00"
High income,2009,-3.3,11.1,100,79.2,0.7,1.1,0.1,29,9.4,"4,731.20","1,17,18,05,563.00"
IBRD only,2009,2,3.8,90.6,49.4,1,2.4,0.2,34.2,18.5,"1,364.70","4,38,37,03,298.00"
IDA & IBRD total,2009,2.2,3,79.6,45.5,1.3,2.6,1.2,33,24.1,"1,185.40","5,71,78,26,465.00"
IDA blend,2009,6.1,0.8,58.1,38,2.4,3.7,0.2,30.6,62.9,633.8,"44,49,98,521.00"
IDA only,2009,4.8,0.3,37.3,30.2,2.3,3.9,15.5,28.7,72.5,371.6,"88,91,24,646.00"
IDA total,2009,5.4,0.5,44.3,32.8,2.3,3.9,8.6,29.1,67.8,474.8,"1,33,41,23,167.00"
Late-demographic dividend,2009,2.6,5.4,97.9,54.3,0.6,2.5,0.2,39.4,15.4,"1,880.90","2,16,78,42,734.00"
Latin America & Caribbean,2009,-1.9,2.8,95.4,78.3,1.2,1.5,0.2,48.2,29,"1,280.60","58,34,30,031.00"
Latin America & Caribbean (excluding high income),2009,-1.9,2.7,95.3,78,1.2,1.6,0.2,49.5,29.3,"1,234.00","55,32,44,958.00"
Latin America & the Caribbean (IDA & IBRD countries),2009,-1.9,2.8,95.3,78.2,1.2,1.6,0.2,48.3,29.4,"1,282.20","56,72,89,601.00"
Least developed countries: UN classification,2009,4.8,0.3,32.8,29,2.3,4.1,18.1,30.8,77.9,347.6,"81,73,22,629.00"
Low & middle income,2009,2.4,3,79.1,45.4,1.3,2.6,1.3,33.1,24.3,"1,166.90","5,66,77,68,723.00"
Low income,2009,5.1,0.4,27.1,30,2.8,4,23.7,23.8,69.8,..,"51,72,67,751.00"
Lower middle income,2009,4.9,1.3,70.8,35.3,1.6,2.8,0.3,27,42.9,581.2,"2,50,79,29,642.00"
Middle East & North Africa,2009,0.5,5.8,94.9,62.2,2.2,2.9,0.9,2,1.9,"2,070.10","37,78,83,993.00"
Middle East & North Africa (excluding high income),2009,2.6,3.8,94.1,58.7,1.8,2.4,1.1,2.5,2.7,"1,365.80","32,69,00,984.00"
Middle East & North Africa (IDA & IBRD countries),2009,2.5,3.9,94,58.5,1.8,2.4,0.2,2.5,2.7,"1,365.80","32,32,11,885.00"
Middle income,2009,2.3,3.2,84.4,46.9,1.2,2.6,0.2,34.6,22.5,"1,209.80","5,15,05,00,972.00"
North America,2009,-2.6,17,100,80.6,0.9,1.1,0.1,36.2,9.1,"7,129.90","34,04,66,060.00"
Not classified,2009,..,..,..,..,..,..,..,..,..,..,..
OECD members,2009,-3.4,9.6,99.7,78.7,0.7,1.1,0.1,32.5,10.1,"4,135.90","1,27,91,14,140.00"
Other small states,2009,2.1,6.4,63.9,56.6,2.6,4.4,0.2,29.9,30.7,..,"2,54,17,830.00"
Pacific island small states,2009,-0.9,0.9,64.8,36.6,1.3,2.2,0.1,67.5,33.6,..,"21,86,314.00"
Post-demographic dividend,2009,-3.5,10.8,100,79.6,0.5,0.9,0.1,31.8,9.5,"4,689.90","1,06,98,78,414.00"
Pre-demographic dividend,2009,5.2,0.4,31.8,36.3,2.9,4.4,20,30.1,78.2,542.9,"71,12,57,522.00"
Small states,2009,1,6.6,69.8,54.1,2.2,3.6,0.2,40.7,27,..,"3,45,29,598.00"
South Asia,2009,7.1,1.2,72.1,30.5,1.5,2.7,0.2,18.3,42.7,500.7,"1,61,56,10,198.00"
South Asia (IDA & IBRD),2009,7.1,1.2,72.1,30.5,1.5,2.7,0.2,18.3,42.7,500.7,"1,61,56,10,198.00"
Sub-Saharan Africa,2009,3.1,0.9,33.3,35.5,2.8,4.3,15.3,30.1,70.9,687.8,"84,56,55,214.00"
Sub-Saharan Africa (excluding high income),2009,3.1,0.9,33.2,35.5,2.8,4.3,15.4,30.1,71.1,687.2,"84,43,20,487.00"
Sub-Saharan Africa (IDA & IBRD countries),2009,3.1,0.9,33.3,35.5,2.8,4.3,15.3,30.1,70.9,687.8,"84,56,55,214.00"
Upper middle income,2009,1.7,5.1,97.8,57.9,0.8,2.4,0.2,37.5,15.3,"1,800.50","2,64,25,71,330.00"
World,2009,-1.7,4.4,82.7,51.1,1.2,2.2,0.9,30.9,17.5,"1,796.20","6,83,95,74,286.00"
Afghanistan,2010,14.4,0.3,42.7,23.7,2.7,3.6,97.6,1.9,14.8,..,"2,91,85,507.00"
Albania,2010,3.7,1.6,..,52.2,-0.5,1.6,89.8,28.5,37.1,729.2,"29,13,021.00"
Algeria,2010,3.6,3.3,98.9,67.5,1.8,2.9,77.4,0.8,0.3,"1,114.20","3,59,77,455.00"
American Samoa,2010,0.4,..,..,87.6,-1.1,-1.2,100.8,87.2,0,..,"56,079.00"
Andorra,2010,-2,6.1,100,88.8,0,-0.1,..,34,19.1,..,"84,449.00"
Angola,2010,4.4,1.2,33.4,59.8,3.7,4.9,89.7,57.9,54.2,521,"2,33,56,246.00"
Antigua and Barbuda,2010,-7.8,6,98.5,26.2,1.5,-0.7,100.9,20,0,..,"88,028.00"
Argentina,2010,10.1,4.6,98.8,90.8,0.8,0.9,92.5,11,9,"1,928.70","4,07,88,453.00"
Armenia,2010,2.2,1.5,99.8,63.4,-0.4,-0.5,81,11.6,9.4,863,"28,77,319.00"
Aruba,2010,-3.7,24.7,93.4,43.1,0.2,-0.6,..,2.3,5.5,..,"1,01,669.00"
Australia,2010,2.1,17.7,100,85.2,1.6,1.7,85.7,16.9,8.1,"5,793.10","2,20,31,750.00"
Austria,2010,1.8,8.1,100,57.4,0.2,-0.3,97.1,46.8,30.7,"4,051.20","83,63,404.00"
Azerbaijan,2010,4.8,3.4,99.9,53.4,1.2,1.6,86.1,12.5,4.4,"1,279.60","90,54,332.00"
"Bahamas, The",2010,1.5,6.7,100,82.4,1.5,1.6,93.5,50.9,1.7,..,"3,54,942.00"
Bahrain,2010,4.3,23.6,100,88.6,4.6,4.7,29,0.7,0,"10,207.90","12,40,860.00"
Bangladesh,2010,5.6,0.4,55.3,30.5,1.1,3.6,85.7,14.5,41.1,206.8,"14,75,75,430.00"
Barbados,2010,-2.3,5.2,100,31.9,0.4,-0.2,95.4,14.7,9,..,"2,82,131.00"
Belarus,2010,7.8,6.6,100,74.7,-0.2,0.5,92.2,42.5,7,"2,900.00","94,90,583.00"
Belgium,2010,2.9,10.1,100,97.7,0.9,1,92.9,22.8,5.8,"5,539.50","1,08,95,586.00"
Belize,2010,3,1.7,89.9,45.2,2.5,2.4,79,61,33.7,..,"3,22,464.00"
Benin,2010,2.1,0.6,34.2,43.1,2.8,4,82.6,32.2,48.1,397.1,"91,99,259.00"
Bermuda,2010,-2.5,9.3,100,100,-0.8,-0.8,95.7,18.5,2.4,..,"65,124.00"
Bhutan,2010,11.9,0.7,73.3,34.8,1.1,3.3,103.8,71,90.9,..,"6,85,503.00"
Bolivia,2010,4.1,1.5,88,66.4,1.6,2.3,84.3,49,20.1,636.1,"1,00,48,590.00"
Bosnia and Herzegovina,2010,0.9,5.7,100,45.6,-0.8,-0.1,108.9,41.1,19.6,"1,749.10","37,05,472.00"
Botswana,2010,8.6,2.3,52.7,62.4,1.7,4.1,128.9,29,30.2,"1,083.90","19,87,105.00"
Brazil,2010,7.5,2.1,99,84.3,0.9,1.3,90.6,61.2,47,"1,358.50","19,57,13,635.00"
British Virgin Islands,2010,..,7.1,98.6,44.8,2.8,3.5,96.2,24.3,0.8,..,"27,794.00"
Brunei Darussalam,2010,2.6,21.1,100,75,1.2,1.7,90.7,72.1,0,"8,337.50","3,88,646.00"
Bulgaria,2010,0.6,6,100,72.3,-0.7,-0.2,108.9,34.4,14.4,"2,416.70","73,95,599.00"
Burkina Faso,2010,8.4,0.1,13.1,24.6,3,5.3,103.2,24.5,81.5,..,"1,56,05,217.00"
Burundi,2010,5.1,0,5.3,10.6,3.3,5.8,80.4,7.6,96.8,..,"86,75,602.00"
Cabo Verde,2010,1.5,1.1,81.1,61.8,1.2,2.5,152.5,10.6,21.7,..,"4,92,654.00"
Cambodia,2010,6,0.4,31.1,20.3,1.5,3.3,98.3,60,68.5,370.3,"1,43,12,212.00"
Cameroon,2010,3.4,0.3,53.3,51.6,2.7,3.9,95.6,44.2,78.6,342.5,"2,03,41,241.00"
Canada,2010,3.1,15.5,100,80.9,1.1,1.3,102.7,38.7,22.1,"7,788.60","3,40,04,889.00"
Cayman Islands,2010,-2.7,9.8,100,100,2.4,2.4,102.1,53,0,..,"56,672.00"
Central African Republic,2010,4.6,0.1,9.8,38.9,1.1,1.7,88.4,36.3,79.8,..,"43,86,768.00"
Chad,2010,13.6,0.1,6.4,22,3.3,3.6,73.1,4.4,90.8,..,"1,19,52,136.00"
Channel Islands,2010,..,..,..,31.1,1,1.2,..,5.2,..,..,"1,59,734.00"
Chile,2010,5.8,4.2,99.4,87.1,1,1.1,96.9,22.5,27,"1,807.90","1,70,62,536.00"
China,2010,10.6,6.6,99.7,49.2,0.5,3.3,93.6,21.3,12.9,"1,954.70","1,33,77,05,000.00"
Colombia,2010,4.5,1.7,96.8,78,1.1,1.5,85.9,54.8,27.9,690,"4,52,22,699.00"
Comoros,2010,3.8,0.2,70.1,28,2.4,2.6,99.7,20,46.4,..,"6,89,692.00"
"Congo, Dem. Rep.",2010,7.1,0,12.7,40,3.3,4.6,95.8,60.5,96.8,307.4,"6,45,63,854.00"
"Congo, Rep.",2010,9.9,0.5,42.3,63.3,3,3.8,83.6,64.6,55.1,392.4,"42,73,731.00"
Costa Rica,2010,5,1.7,99,71.7,1.2,2.9,97.5,56.2,42.3,"1,015.00","45,77,378.00"
Cote d'Ivoire,2010,2,0.3,58,47.3,2.3,3.2,89.8,12.5,75.4,495,"2,05,32,950.00"
Croatia,2010,-1.3,4.7,100,55.2,-0.2,0.1,84.4,34.3,29.8,"2,185.40","42,95,427.00"
Cuba,2010,2.4,3,97.8,76.6,0,0.1,91.1,27.5,13.2,"1,099.50","1,12,25,832.00"
Curacao,2010,0.1,..,100,89.9,1.3,1.1,..,..,0.2,"13,710.10","1,48,703.00"
Cyprus,2010,2,6.9,100,67.6,1.3,1.1,105.4,18.7,6.4,"2,195.30","11,12,612.00"
Czech Republic,2010,2.4,10.8,100,73.3,0.3,0.2,96.3,34.4,10.9,"4,237.90","1,04,74,410.00"
Denmark,2010,1.9,8.3,100,86.8,0.4,0.6,101,13.8,21.4,"3,510.80","55,47,683.00"
Djibouti,2010,..,0.6,56,77,1.5,1.6,125,0.2,34.4,..,"8,40,198.00"
Dominica,2010,0.7,2.4,94,68.1,0,0.5,100.5,63.8,8.9,..,"70,878.00"
Dominican Republic,2010,8.3,2.2,98.1,73.8,1.2,2.9,95,42.9,17,776.7,"96,95,121.00"
Ecuador,2010,3.5,2.4,97.5,62.7,1.6,1.9,104.2,52.5,12.1,784.1,"1,50,11,117.00"
"Egypt, Arab Rep.",2010,5.1,2.4,99.2,43,2,1.9,96,0.1,5.7,876.5,"8,27,61,235.00"
El Salvador,2010,2.1,1,91.6,65.5,0.4,1.8,96.7,30.4,30.8,687.3,"61,83,875.00"
Equatorial Guinea,2010,-8.9,7.3,..,65.9,4.6,7,112.1,90.3,6,..,"9,43,639.00"
Eritrea,2010,2.2,0.2,39.8,35.2,1.6,3.3,97.3,10.8,81.2,233.7,"31,70,435.00"
Estonia,2010,2.7,13.4,100,68.1,-0.2,-0.4,90.5,55.1,25.1,"4,222.70","13,31,475.00"
Eswatini,2010,3.8,1,45.6,22.5,0.7,1.7,98.5,28.2,62.7,..,"10,64,837.00"
Ethiopia,2010,12.6,0.1,33.2,17.3,2.8,5.2,107.6,15.8,94.5,486.7,"8,76,39,964.00"
Faroe Islands,2010,..,13.2,100,40.9,0,0.5,93.7,0.1,3.4,..,"47,814.00"
Fiji,2010,3,1.4,89,52.2,0.7,1.7,97.2,58.7,29.6,..,"8,59,818.00"
Finland,2010,3.2,11.5,100,83.8,0.5,0.9,96.5,73.2,33.6,"6,828.80","53,63,352.00"
France,2010,1.9,5.4,100,78.4,0.5,0.8,99.4,30,11.8,"4,016.80","6,50,27,507.00"
French Polynesia,2010,..,3,100,60.3,0.5,1.4,105.2,40.8,11.6,..,"2,66,455.00"
Gabon,2010,7.1,3,92.2,85.5,3.5,4.1,92.1,91.8,85.9,"3,129.10","16,24,140.00"
"Gambia, The",2010,5.9,0.2,47.3,55.7,3,4.3,93.5,29.6,54.7,..,"17,93,196.00"
Georgia,2010,6.2,1.7,99.3,55.5,-0.7,0,99,40.6,39.1,824.5,"37,86,695.00"
Germany,2010,4.2,9.3,100,77,-0.2,0.1,96.5,32.7,10.3,"3,997.10","8,17,76,930.00"
Ghana,2010,7.9,0.4,64.2,50.7,2.5,3.8,84.4,34.9,49.8,298.9,"2,47,79,619.00"
Gibraltar,2010,..,13.9,100,100,0.1,0.1,..,0,0,"5,150.70","33,585.00"
Greece,2010,-5.5,7.5,100,76.3,0.1,0.6,110.3,30.3,11.1,"2,482.10","1,11,21,341.00"
Greenland,2010,1.7,11.7,100,84.4,1,1.4,101.8,0,9.8,..,"56,905.00"
Grenada,2010,-0.5,2.5,89.6,35.9,0.4,0.4,101.4,52.1,10.5,..,"1,06,233.00"
Guam,2010,2.1,..,100,94.1,0.1,0.2,84,44.4,0,..,"1,59,444.00"
Guatemala,2010,2.9,0.8,84.1,48.4,1.8,2.5,73.6,34.7,66.6,714.9,"1,42,59,687.00"
Guinea,2010,4.8,0.3,27.3,33.7,2.3,3.1,79.2,26.7,75.7,..,"1,01,92,176.00"
Guinea-Bissau,2010,4.6,0.2,6,40.1,2.6,3.6,92.2,73.4,87.8,..,"15,22,599.00"
Guyana,2010,4.1,2.3,82.4,26.6,0.2,-0.6,74.6,94.1,33.8,..,"7,49,436.00"
Haiti,2010,-3.8,0.2,37.4,47.5,1.5,3.6,96.3,13.7,79,381.6,"99,49,322.00"
Honduras,2010,3.7,1,81,51.9,2,3.3,90.8,58.8,53.2,548.7,"83,17,470.00"
"Hong Kong SAR, China",2010,6.8,5.7,100,100,0.7,0.7,98.7,..,0.8,"1,946.60","70,24,200.00"
Hungary,2010,1.1,5,100,68.9,-0.2,0.4,88.4,22.6,13.5,"2,568.90","1,00,00,023.00"
Iceland,2010,-3.4,6.2,100,93.6,-0.1,-0.1,89,0.4,75.4,"17,023.20","3,18,041.00"
India,2010,8.5,1.4,76.3,30.9,1.4,2.5,81.4,23.4,39.5,561.7,"1,23,42,81,170.00"
Indonesia,2010,6.2,1.8,94.2,49.9,1.3,2.9,79.4,55,37.8,877.1,"24,18,34,215.00"
"Iran, Islamic Rep.",2010,5.8,7.8,99,70.6,1.1,2,92.1,6.6,0.9,"2,769.50","7,37,62,519.00"
Iraq,2010,6.4,3.8,98.1,69.1,2.6,2.8,101.5,1.9,1.7,"1,261.20","2,97,41,976.00"
Ireland,2010,1.8,8.8,100,61.5,0.5,0.9,88.6,10.5,5.3,"3,152.00","45,60,155.00"
Isle of Man,2010,3.4,..,100,52,0.6,0.6,..,6.1,4,..,"84,857.00"
Israel,2010,5.6,9,100,91.8,1.8,1.9,87.7,7.1,8.5,"3,042.40","76,23,600.00"
Italy,2010,1.7,6.8,100,68.3,0.3,0.5,109.7,30.7,12.8,"2,930.60","5,92,77,417.00"
Jamaica,2010,-1.5,2.5,92.2,53.7,0.5,0.9,89,51.6,13.7,951.4,"28,10,460.00"
Japan,2010,4.2,9.2,100,90.8,0,0.9,92.7,68.5,4.6,"3,893.30","12,80,70,000.00"
Jordan,2010,2.3,2.9,99,86.1,5.2,6.6,93.6,1.1,3,978.2,"72,61,539.00"
Kazakhstan,2010,7.3,15.2,99.5,56.8,1.4,1.5,95.4,1.1,1.4,"4,234.90","1,63,21,872.00"
Kenya,2010,8.4,0.3,19.2,23.6,2.7,4.4,96.7,6.4,76.3,464.4,"4,20,30,676.00"
Kiribati,2010,-0.9,0.6,63.2,47.4,2,3.8,96,1.5,3.5,..,"1,02,927.00"
"Korea, Dem. People’s Rep.",2010,..,2.1,29.5,60.4,0.5,0.8,96,51.8,13.5,770.1,"2,45,48,836.00"
"Korea, Rep.",2010,6.8,11.4,100,81.9,0.5,0.6,85.6,65.7,1.3,"5,045.50","4,95,54,112.00"
Kosovo,2010,3.3,4.7,99,..,0.8,..,..,..,20.9,"1,405.00","17,75,680.00"
Kuwait,2010,-2.4,30,100,100,5.9,5.9,61.2,0.4,0,"10,721.50","29,91,884.00"
Kyrgyz Republic,2010,-0.5,1.2,99,35.3,1.2,1.3,88.1,6.4,25.6,505.4,"54,47,900.00"
Lao PDR,2010,8.5,0.5,70.6,30.1,1.6,3.6,103.7,73.4,71.5,..,"62,49,165.00"
Latvia,2010,-4.4,3.8,100,67.8,-2.1,-2,88.9,54.2,33.1,"2,148.70","20,97,555.00"
Lebanon,2010,8,4,99.9,87.3,2.9,3,87.3,13.4,5.2,"1,287.80","49,53,061.00"
Lesotho,2010,0.8,1.1,17,24.8,0.3,2.3,92.2,1.1,53.4,..,"19,95,581.00"
Liberia,2010,6.1,0.2,5.2,47.8,3.6,4.4,88.7,82.2,89.2,..,"38,91,356.00"
Libya,2010,5,10,81.4,78.1,1,1.3,119.5,0.1,1.6,"3,353.50","61,97,663.00"
Liechtenstein,2010,..,1.6,100,14.5,0.7,0.4,101.3,41.9,58.7,..,"35,994.00"
Lithuania,2010,1.7,4.3,100,66.8,-2.1,-2.2,97.1,34.6,21.5,"2,275.80","30,97,282.00"
Luxembourg,2010,4.9,21.6,100,88.5,1.8,2.2,87,36.5,3.7,"8,329.50","5,06,953.00"
"Macao SAR, China",2010,25.3,2.3,100,100,2.2,2.2,100.2,..,5.8,..,"5,38,219.00"
Madagascar,2010,0.6,0.1,17.6,31.9,2.8,4.8,93.5,21.6,81.9,..,"2,11,51,640.00"
Malawi,2010,6.9,0.1,8.7,15.5,2.9,3.6,49.5,28.2,79.5,..,"1,45,39,612.00"
Malaysia,2010,7.4,7.8,99.2,70.9,1.7,2.9,79.3,57.7,3.8,"2,601.40","2,82,08,035.00"
Maldives,2010,7.3,2.6,99.1,36.4,3.4,4.6,98.7,2.7,1.2,..,"3,65,734.00"
Mali,2010,5.3,0.1,27.8,36,3.2,5.4,96.4,10.9,69.1,..,"1,50,49,353.00"
Malta,2010,5.5,6.2,100,94.1,0.5,0.6,111.1,1.1,1.4,"2,012.30","4,14,508.00"
Marshall Islands,2010,7.6,2.4,89,73.6,0.2,0.9,..,52.2,13.3,..,"56,366.00"
Mauritania,2010,2.6,0.6,33.7,46.6,2.9,4.9,88.7,0.4,34,..,"34,94,195.00"
Mauritius,2010,4.4,3.1,100,41.6,0.2,0,99.4,18.9,13.7,"1,053.50","12,50,400.00"
Mexico,2010,5.1,4.1,99.2,77.8,1.4,1.8,92.3,34.4,9.4,"1,531.80","11,40,92,963.00"
"Micronesia, Fed. Sts.",2010,2.3,1,64.5,22.3,-0.1,-0.1,86.3,91.6,1.5,..,"1,02,911.00"
Moldova,2010,7.1,1.7,100,42.6,-0.1,-0.2,100.5,11.4,8.4,"1,225.70","28,61,487.00"
Monaco,2010,2.1,..,100,100,1.1,1.1,..,0,..,..,"35,612.00"
Mongolia,2010,6.4,5.1,78.5,67.6,1.7,3.2,63.7,9.1,4.3,"1,449.50","27,19,896.00"
Montenegro,2010,2.7,3.9,100,64.1,0.2,0.7,78.3,61.5,49.1,"1,898.30","6,19,428.00"
Morocco,2010,3.8,1.7,91.5,58,1.3,2.3,84.9,12.7,14.4,528.1,"3,23,43,389.00"
Mozambique,2010,6.5,0.1,18,31.8,2.7,4.3,85.6,49.6,91.3,423.3,"2,35,31,574.00"
Myanmar,2010,9.6,0.3,48.8,28.9,0.7,1.4,67.2,48.1,84.4,277.1,"5,06,00,818.00"
Namibia,2010,6,1.5,44.4,41.6,1.8,4.3,103.1,8.9,26.4,726.1,"21,18,874.00"
Nauru,2010,11.1,4.4,99,100,0.7,0.7,98.4,0,0.1,..,"10,005.00"
Nepal,2010,4.8,0.2,68.6,16.8,0.5,2.5,84.9,41.6,87.3,378,"2,70,13,212.00"
Netherlands,2010,1.3,11.2,100,87.1,0.5,1.5,87,11.1,3.9,"5,025.30","1,66,15,394.00"
New Caledonia,2010,..,14.3,100,67.1,1.5,2.2,91.1,45.9,4.5,..,"2,49,750.00"
New Zealand,2010,1.6,7.3,100,86.2,1.1,1,86.5,37.4,31.3,"4,225.10","43,50,700.00"
Nicaragua,2010,4.4,0.8,79.1,56.9,1.4,1.7,98.1,34.8,52.6,507.6,"58,24,065.00"
Niger,2010,8.6,0.1,12.9,16.2,3.8,3.8,89.9,1,80.7,135.4,"1,64,64,025.00"
Nigeria,2010,8,0.7,48,43.5,2.7,4.7,99.2,25.5,86.8,756.3,"15,85,03,197.00"
North Macedonia,2010,3.4,4.2,100,57.1,0.1,0,102.9,38.1,22.3,"1,390.50","20,70,741.00"
Northern Mariana Islands,2010,1.4,..,100,90.9,-0.4,-0.3,..,65.9,0,..,"53,971.00"
Norway,2010,0.7,10.1,100,79.1,1.2,1.6,98.9,33.1,56.4,"6,934.60","48,89,252.00"
Oman,2010,1.7,15.6,100,75.2,5.6,6.3,87.4,0,0,"6,154.50","30,41,434.00"
Pakistan,2010,1.6,0.9,70.4,35,2.2,2.8,84.2,5.3,46.7,473.8,"17,94,24,641.00"
Palau,2010,0.2,11.6,98.5,74.8,-1.8,-0.9,..,88.2,0,..,"17,955.00"
Panama,2010,5.8,2.5,86.9,65.1,1.8,2.2,84.8,58.2,19.9,990.7,"36,42,687.00"
Papua New Guinea,2010,10.1,0.7,19.5,13,2.3,2.2,91,79.9,55.3,..,"73,10,507.00"
Paraguay,2010,11.1,0.8,97.4,59.3,1.4,1.9,79.9,49.3,64.2,769.5,"62,48,020.00"
Peru,2010,8.3,2,88.1,76.4,0.8,1.1,81.1,57.9,30.8,643.1,"2,90,27,674.00"
Philippines,2010,7.3,0.9,85.2,45.3,1.7,1.6,87.6,22.9,28.8,429.9,"9,39,66,780.00"
Poland,2010,3.7,8.3,100,60.9,-0.3,-0.5,94.6,30.5,9.5,"2,640.20","3,80,42,794.00"
Portugal,2010,1.7,4.6,100,60.6,0,1,101.9,35.5,27.8,"2,222.60","1,05,73,100.00"
Puerto Rico,2010,-0.4,..,100,93.8,-0.5,-0.6,118.5,55.4,0.6,..,"37,21,525.00"
Qatar,2010,19.6,39.1,100,98.5,11.5,11.7,78.8,0,0,"14,890.40","18,56,327.00"
Romania,2010,-3.9,3.9,100,53.8,-0.6,-0.4,103.2,28.3,24.1,"1,730.10","2,02,46,871.00"
Russian Federation,2010,4.5,11.7,100,73.7,0,0.1,89.5,49.8,3.3,"4,819.00","14,28,49,468.00"
Rwanda,2010,7.3,0.1,9.7,16.9,2.6,2.6,90.1,10.7,90.7,..,"1,00,39,338.00"
Samoa,2010,0.5,1,96.7,20.1,0.8,-0.3,90.3,58.8,46.8,..,"1,85,949.00"
San Marino,2010,-5.5,..,100,95.7,1.3,1.6,..,16.7,..,..,"31,229.00"
Sao Tome and Principe,2010,6.7,0.5,60.4,65,2.5,4.3,107.5,60.5,43.8,..,"1,80,371.00"
Saudi Arabia,2010,5,18.9,100,82.1,2.9,3.2,95,0.5,0,"6,764.40","2,74,21,461.00"
Senegal,2010,3.6,0.6,56.5,43.8,2.7,3.7,81.3,44,50.3,302.2,"1,26,78,148.00"
Serbia,2010,0.7,6.3,99.7,55,-0.4,0,97.4,31,20.6,"2,141.10","72,91,436.00"
Seychelles,2010,6,4.9,97,53.3,2.8,3.5,119.3,73.3,0.6,..,"89,770.00"
Sierra Leone,2010,5.3,0.1,11.5,38.9,2.3,3.3,86.5,37.9,84.2,..,"64,15,634.00"
Singapore,2010,14.5,11.5,100,100,1.8,1.8,73.1,25.3,0.5,"5,006.60","50,76,732.00"
Sint Maarten (Dutch part),2010,3.2,..,100,100,-0.5,-0.5,..,..,..,..,"34,056.00"
Slovak Republic,2010,5.9,6.7,100,54.7,0.1,-0.4,125.9,39.9,10.3,"3,306.80","53,91,428.00"
Slovenia,2010,1.3,7.5,100,52.7,0.4,0.9,106.3,61.9,19.5,"3,579.10","20,48,583.00"
Solomon Islands,2010,8.6,0.4,33.9,20,2.4,4.7,98,90.4,63.5,..,"5,27,861.00"
Somalia,2010,..,0.1,21,39.3,2.7,7.1,107.7,10.8,93.6,..,"1,20,43,883.00"
South Africa,2010,3,9.2,82.9,62.2,1.5,2.3,86.9,14.4,17.1,"2,768.10","5,12,16,964.00"
South Sudan,2010,5.5,..,1.5,17.9,3.9,4.8,..,..,..,..,"95,08,364.00"
Spain,2010,0.2,5.8,100,78.4,0.5,0.8,91.5,37.1,14.4,"2,742.90","4,65,76,897.00"
Sri Lanka,2010,8,0.7,85.3,18.2,0.7,0.6,75.1,33.5,61.8,480.8,"2,02,61,737.00"
St. Kitts and Nevis,2010,-0.6,4.5,99.7,31.3,0.8,0.4,143.7,42.3,1,..,"49,011.00"
St. Lucia,2010,1.6,2.3,94.2,18.5,1.1,-3,80.1,34,2.2,..,"1,74,085.00"
St. Martin (French part),2010,..,..,64.4,..,0.5,..,..,18.4,..,..,"37,582.00"
